type size particles iterations skipped time num_process
c 400 16 1000 8032 0.005853 512
c 400 8 1000 8034 0.008163 1024
c 400 63 1000 7876 0.005746 128
c 400 32 1000 7965 0.003904 256
c 400 16 1000 8000 0.005539 512
c 400 8 1000 7966 0.007962 1024
c 400 63 10000 6418 0.025795 128
c 400 32 10000 6356 0.025453 256
c 400 16 10000 6469 0.039295 512
c 400 8 10000 6527 0.059527 1024
c 400 63 10000 6149 0.036102 128
c 400 32 10000 6267 0.03526 256
c 400 16 10000 6075 0.034541 512
c 400 8 10000 5975 0.049724 1024
c 400 63 10000 6017 0.033649 128
c 400 32 10000 6376 0.033237 256
c 400 16 10000 6120 0.032874 512
c 400 8 10000 6027 0.050165 1024
c 400 63 10000 5986 0.032741 128
c 400 32 10000 5632 0.033704 256
c 400 16 10000 5838 0.032035 512
c 400 8 10000 5702 0.049214 1024
c 400 63 100000 1 0.141459 128
c 400 32 100000 0 0.119413 256
c 400 16 100000 0 0.109681 512
c 400 8 100000 1 0.163382 1024
c 400 63 100000 3 0.144738 128
c 400 32 100000 2 0.129234 256
c 400 16 100000 2 0.133475 512
c 400 8 100000 0 0.157818 1024
c 400 63 100000 0 0.095514 128
c 400 32 100000 1 0.138372 256
c 400 16 100000 2 0.12879 512
c 400 8 100000 0 0.161506 1024
c 400 63 100000 0 0.116678 128
c 400 32 100000 0 0.106071 256
c 400 16 100000 0 0.108077 512
c 400 8 100000 0 0.137166 1024
c 400 125 1000 15413 0.007514 128
c 400 63 1000 15503 0.008057 256
c 400 32 1000 15855 0.007699 512
c 400 16 1000 15742 0.007926 1024
c 400 125 1000 15242 0.007962 128
c 400 63 1000 15399 0.008173 256
c 400 32 1000 15717 0.008134 512
c 400 16 1000 15534 0.007557 1024
c 400 125 1000 15273 0.007735 128
c 400 63 1000 15281 0.00824 256
c 400 32 1000 15642 0.008085 512
c 400 16 1000 15613 0.007748 1024
c 400 125 1000 15036 0.008104 128
c 400 63 1000 14997 0.008519 256
c 400 32 1000 15451 0.008033 512
c 400 16 1000 15332 0.007874 1024
c 400 125 10000 157 0.031278 128
c 400 63 10000 21 0.029062 256
c 400 32 10000 388 0.030721 512
c 400 16 10000 117 0.028502 1024
c 400 125 10000 94 0.029598 128
c 400 63 10000 811 0.032633 256
c 400 32 10000 417 0.028298 512
c 400 16 10000 153 0.029584 1024
c 400 125 10000 574 0.029896 128
