type size particles iterations skipped time
c 500 49 100000 12 0.176399
c 500 25 100000 19 0.18968
c 500 13 100000 0 0.184277
c 500 98 100000 3 0.16334
c 500 49 100000 13 0.192879
c 500 25 100000 3 0.179507
c 500 13 100000 0 0.186941
c 500 98 100000 25 0.196141
c 500 49 100000 18 0.179327
c 500 25 100000 10 0.169633
c 500 13 100000 1 0.188873
c 500 98 100000 20 0.171465
c 500 49 100000 45 0.190391
c 500 25 100000 30 0.196564
c 500 13 100000 0 0.191334
c 500 196 1000 24323 0.010812
c 500 98 1000 24203 0.010825
c 500 49 1000 24228 0.011989
c 500 25 1000 24711 0.015313
c 500 196 1000 24173 0.010968
c 500 98 1000 24256 0.011269
c 500 49 1000 24407 0.012213
c 500 25 1000 24762 0.013931
c 500 196 1000 24264 0.010893
c 500 98 1000 24249 0.011021
c 500 49 1000 24252 0.01214
c 500 25 1000 24889 0.013908
c 500 196 1000 24332 0.010973
c 500 98 1000 24507 0.012055
c 500 49 1000 24489 0.011576
c 500 25 1000 24906 0.014547
c 500 196 10000 2827 0.060502
c 500 98 10000 3220 0.060567
c 500 49 10000 3386 0.058571
c 500 25 10000 5346 0.065259
c 500 196 10000 1156 0.057202
c 500 98 10000 1518 0.054105
c 500 49 10000 3885 0.060755
c 500 25 10000 4718 0.065099
c 500 196 10000 864 0.048412
c 500 98 10000 4184 0.061858
c 500 49 10000 5149 0.06343
c 500 25 10000 4781 0.064932
c 500 196 10000 2331 0.055358
c 500 98 10000 3594 0.063814
c 500 49 10000 3033 0.056671
c 500 25 10000 2214 0.05407
c 500 196 100000 0 0.055066
c 500 98 100000 0 0.05547
c 500 49 100000 0 0.065963
c 500 25 100000 0 0.053129
c 500 196 100000 0 0.054494
c 500 98 100000 0 0.046304
c 500 49 100000 0 0.058359
c 500 25 100000 0 0.069283
c 500 196 100000 0 0.062072
c 500 98 100000 0 0.057482
c 500 49 100000 0 0.057437
c 500 25 100000 0 0.060752
c 500 196 100000 0 0.063653
c 500 98 100000 0 0.068601
c 500 49 100000 0 0.060498
c 500 25 100000 0 0.058459
c 500 293 1000 32231 0.015047
c 500 147 1000 32945 0.015485
c 500 74 1000 32372 0.014917
c 500 37 1000 34049 0.01652
c 500 293 1000 32495 0.015187
c 500 147 1000 34162 0.015358
c 500 74 1000 33290 0.015181
c 500 37 1000 34497 0.015726
c 500 293 1000 33704 0.015992
c 500 147 1000 32832 0.016334
c 500 74 1000 31858 0.015335
c 500 37 1000 32841 0.015651
c 500 293 1000 32770 0.01503
c 500 147 1000 33878 0.015738
c 500 74 1000 34096 0.014847
c 500 37 1000 33289 0.015485
c 500 293 10000 0 0.024956
c 500 147 10000 0 0.02539
c 500 74 10000 0 0.023983
c 500 37 10000 0 0.025602
c 500 293 10000 0 0.026353
c 500 147 10000 0 0.027121
c 500 74 10000 0 0.025453
c 500 37 10000 0 0.027236
c 500 293 10000 0 0.027346
c 500 147 10000 0 0.025726
c 500 74 10000 0 0.023537
c 500 37 10000 0 0.026084
c 500 293 10000 0 0.025119
c 500 147 10000 0 0.026984
c 500 74 10000 0 0.027164
c 500 37 10000 0 0.024917
c 500 293 100000 0 0.025284
c 500 147 100000 0 0.025392
c 500 74 100000 0 0.025325
c 500 37 100000 0 0.025822
c 500 293 100000 0 0.025881
c 500 147 100000 0 0.028094
c 500 74 100000 0 0.025775
c 500 37 100000 0 0.027075
c 500 293 100000 0 0.025637
c 500 147 100000 0 0.024928
c 500 74 100000 0 0.024488
c 500 37 100000 0 0.029116
c 500 293 100000 0 0.025022
c 500 147 100000 0 0.02628
c 500 74 100000 0 0.023555
c 500 37 100000 0 0.025106
m 200 2000 1000 1907 0.052758
m 200 2000 1000 1934 0.041951
m 200 2000 1000 1949 0.131197
m 200 2000 1000 1948 0.87652
m 200 2000 1000 1919 0.053575
m 200 2000 1000 1930 0.041096
m 200 2000 1000 1935 0.114092
m 200 2000 1000 1921 0.992571
m 200 2000 1000 1871 0.052509
m 200 2000 1000 1905 0.041951
m 200 2000 1000 1927 0.214641
m 200 2000 1000 1925 0.910899
m 200 2000 1000 1893 0.051728
m 200 2000 1000 1917 0.038101
m 200 2000 1000 1915 0.123067
m 200 2000 1000 1937 0.74366
m 200 2000 10000 832 0.323247
m 200 2000 10000 981 0.266943
m 200 2000 10000 1019 2.263716
m 200 2000 10000 1117 9.695875
m 200 2000 10000 905 0.355672
m 200 2000 10000 947 0.249519
m 200 2000 10000 1054 2.727498
m 200 2000 10000 1086 10.51477
