type size particles iterations skipped time num_process
c 600 71 1000 18048 0.00745 256
c 600 36 1000 18298 0.007225 512
c 600 18 1000 18288 0.007391 1024
c 600 141 1000 17934 0.007521 128
c 600 71 1000 18064 0.009459 256
c 600 36 1000 18309 0.007075 512
c 600 18 1000 18304 0.007648 1024
c 600 141 1000 17908 0.00759 128
c 600 71 1000 18050 0.007216 256
c 600 36 1000 18296 0.007189 512
c 600 18 1000 18312 0.009416 1024
c 600 141 10000 15954 0.068532 128
c 600 71 10000 16075 0.06768 256
c 600 36 10000 15997 0.063745 512
c 600 18 10000 16197 0.066012 1024
c 600 141 10000 16296 0.068078 128
c 600 71 10000 16245 0.0544 256
c 600 36 10000 16517 0.065292 512
c 600 18 10000 16415 0.066545 1024
c 600 141 10000 16303 0.055592 128
c 600 71 10000 16339 0.067893 256
c 600 36 10000 16657 0.065427 512
c 600 18 10000 16482 0.066463 1024
c 600 141 10000 15974 0.067953 128
c 600 71 10000 16377 0.066943 256
c 600 36 10000 16455 0.052158 512
c 600 18 10000 16504 0.067677 1024
c 600 141 100000 100 0.241295 128
c 600 71 100000 148 0.260159 256
c 600 36 100000 18 0.249391 512
c 600 18 100000 71 0.245551 1024
c 600 141 100000 144 0.245694 128
c 600 71 100000 148 0.254951 256
c 600 36 100000 59 0.253792 512
c 600 18 100000 64 0.271986 1024
c 600 141 100000 193 0.271273 128
c 600 71 100000 188 0.300614 256
c 600 36 100000 170 0.24247 512
c 600 18 100000 61 0.245304 1024
c 600 141 100000 21 0.237514 128
c 600 71 100000 128 0.287543 256
c 600 36 100000 143 0.257401 512
c 600 18 100000 42 0.254973 1024
c 600 282 1000 35351 0.015766 128
c 600 141 1000 35325 0.016713 256
c 600 71 1000 35511 0.016469 512
c 600 36 1000 36034 0.016205 1024
c 600 282 1000 35199 0.016856 128
c 600 141 1000 35155 0.016512 256
c 600 71 1000 35408 0.016473 512
c 600 36 1000 35956 0.016319 1024
c 600 282 1000 35233 0.016264 128
c 600 141 1000 35415 0.016474 256
c 600 71 1000 35573 0.015846 512
c 600 36 1000 36214 0.015679 1024
c 600 282 1000 35356 0.013711 128
c 600 141 1000 35442 0.016348 256
c 600 71 1000 35547 0.016966 512
c 600 36 1000 36297 0.01502 1024
c 600 282 10000 9372 0.095161 128
c 600 141 10000 7599 0.09494 256
c 600 71 10000 14183 0.099103 512
c 600 36 10000 13046 0.09642 1024
c 600 282 10000 10193 0.09391 128
c 600 141 10000 8207 0.093761 256
c 600 71 10000 9203 0.091376 512
c 600 36 10000 8893 0.088687 1024
c 600 282 10000 11231 0.096379 128
c 600 141 10000 10246 0.0957 256
c 600 71 10000 12509 0.096156 512
c 600 36 10000 9232 0.088877 1024
c 600 282 10000 8309 0.092859 128
c 600 141 10000 11135 0.098661 256
c 600 71 10000 11638 0.096765 512
c 600 36 10000 12713 0.097205 1024
c 600 282 100000 0 0.093925 128
c 600 141 100000 0 0.10153 256
c 600 71 100000 0 0.092685 512
c 600 36 100000 0 0.095376 1024
c 600 282 100000 0 0.09379 128
c 600 141 100000 0 0.088437 256
c 600 71 100000 0 0.096242 512
c 600 36 100000 0 0.098602 1024
c 600 282 100000 0 0.095867 128
c 600 141 100000 0 0.091608 256
c 600 71 100000 0 0.090779 512
c 600 36 100000 0 0.096634 1024
c 600 282 100000 0 0.09319 128
c 600 141 100000 0 0.105471 256
c 600 71 100000 0 0.102393 512
c 600 36 100000 0 0.092632 1024
c 600 422 1000 52453 0.026344 128
c 600 211 1000 52088 0.026099 256
c 600 106 1000 52424 0.026191 512
c 600 53 1000 52525 0.026293 1024
c 600 422 1000 51638 0.025859 128
c 600 211 1000 52003 0.026151 256
c 600 106 1000 51962 0.026253 512
c 600 53 1000 52117 0.026246 1024
c 600 422 1000 52419 0.025888 128
c 600 211 1000 52617 0.02617 256
c 600 106 1000 52419 0.025879 512
c 600 53 1000 52727 0.026413 1024
c 600 422 1000 52336 0.02537 128
c 600 211 1000 52370 0.02658 256
c 600 106 1000 52488 0.026351 512
c 600 53 1000 52578 0.025933 1024
c 600 422 10000 1 0.073855 128
c 600 211 10000 32 0.074047 256
c 600 106 10000 255 0.077554 512
c 600 53 10000 656 0.084648 1024
c 600 422 10000 1 0.06513 128
