type size particles iterations skipped time num_process
m 600 18000 1000 17896 0.25912 6
m 600 18000 1000 17893 0.449027 2
m 600 18000 1000 17915 0.33748 4
m 600 18000 1000 17915 0.32827 5
m 600 18000 1000 17922 0.266019 6
m 600 18000 1000 17899 0.450212 2
m 600 18000 1000 17904 0.313956 4
m 600 18000 1000 17946 0.27254 5
m 600 18000 1000 17923 0.25678 6
m 600 18000 1000 17887 0.447863 2
m 600 18000 1000 17916 0.315065 4
m 600 18000 1000 17927 0.261799 5
m 600 18000 1000 17929 0.236293 6
m 600 18000 10000 16883 4.42596 2
m 600 18000 10000 16932 3.124823 4
m 600 18000 10000 17064 2.768447 5
m 600 18000 10000 16935 2.594176 6
m 600 18000 10000 16777 4.409618 2
m 600 18000 10000 16934 3.147691 4
m 600 18000 10000 17016 2.725842 5
m 600 18000 10000 16968 2.514841 6
m 600 18000 10000 16882 4.42735 2
m 600 18000 10000 16929 3.084736 4
m 600 18000 10000 16791 2.77628 5
m 600 18000 10000 16935 2.564346 6
m 600 18000 10000 16699 4.418068 2
m 600 18000 10000 16892 3.049254 4
m 600 18000 10000 16937 2.788425 5
m 600 18000 10000 16952 2.632919 6
m 600 18000 100000 5522 22.95461 2
m 600 18000 100000 5464 16.12064 4
m 600 18000 100000 5900 14.88948 5
m 600 18000 100000 5575 13.39789 6
m 600 18000 100000 5547 23.32483 2
m 600 18000 100000 5861 16.77123 4
m 600 18000 100000 5726 14.80416 5
m 600 18000 100000 5831 13.48195 6
m 600 18000 100000 5466 22.92292 2
m 600 18000 100000 5757 16.69176 4
m 600 18000 100000 5727 14.87838 5
m 600 18000 100000 5940 13.7609 6
m 600 18000 100000 5463 23.1437 2
m 600 18000 100000 5997 17.01572 4
m 600 18000 100000 5766 14.78851 5
m 600 18000 100000 5955 13.73343 6
m 600 36000 1000 35669 0.904323 2
m 600 36000 1000 35667 0.601943 4
m 600 36000 1000 35739 0.562509 5
m 600 36000 1000 35753 0.504717 6
m 600 36000 1000 35666 0.901841 2
m 600 36000 1000 35714 0.644334 4
m 600 36000 1000 35752 0.591905 5
m 600 36000 1000 35776 0.50791 6
m 600 36000 1000 35692 0.909698 2
m 600 36000 1000 35758 0.619387 4
m 600 36000 1000 35771 0.578814 5
m 600 36000 1000 35733 0.521537 6
m 600 36000 1000 35627 0.902304 2
m 600 36000 1000 35680 0.635303 4
m 600 36000 1000 35751 0.586443 5
m 600 36000 1000 35764 0.499994 6
m 600 36000 10000 32053 8.543954 2
m 600 36000 10000 32098 5.87261 4
m 600 36000 10000 32301 5.226272 5
m 600 36000 10000 32627 4.873486 6
m 600 36000 10000 31870 8.562907 2
m 600 36000 10000 32286 5.959881 4
m 600 36000 10000 32191 5.189468 5
m 600 36000 10000 32565 4.776397 6
m 600 36000 10000 32040 8.571599 2
m 600 36000 10000 32334 5.970934 4
m 600 36000 10000 32413 5.213869 5
m 600 36000 10000 32336 4.758161 6
m 600 36000 10000 31728 8.562855 2
m 600 36000 10000 32199 5.985193 4
m 600 36000 10000 32281 5.210968 5
m 600 36000 10000 32212 4.826964 6
m 600 36000 100000 5618 26.37953 2
m 600 36000 100000 5992 19.89583 4
m 600 36000 100000 6153 17.91075 5
m 600 36000 100000 6137 16.61405 6
m 600 36000 100000 5829 27.10356 2
m 600 36000 100000 5993 19.42271 4
m 600 36000 100000 6112 17.95429 5
m 600 36000 100000 6090 16.86516 6
m 600 36000 100000 5585 26.54443 2
m 600 36000 100000 5990 20.0544 4
m 600 36000 100000 5735 17.13902 5
m 600 36000 100000 5878 16.63071 6
m 600 36000 100000 5567 26.39952 2
m 600 36000 100000 5773 19.21332 4
m 600 36000 100000 6207 18.52175 5
m 600 36000 100000 6078 16.78737 6
m 600 54000 1000 53299 1.357086 2
m 600 54000 1000 53319 0.948191 4
m 600 54000 1000 53534 0.856988 5
m 600 54000 1000 53462 0.789546 6
m 600 54000 1000 53306 1.357087 2
m 600 54000 1000 53386 0.970368 4
m 600 54000 1000 53422 0.841056 5
m 600 54000 1000 53602 0.782755 6
m 600 54000 1000 53354 1.362907 2
m 600 54000 1000 53405 0.959281 4
m 600 54000 1000 53474 0.84253 5
m 600 54000 1000 53456 0.769533 6
m 600 54000 1000 53177 1.362878 2
m 600 54000 1000 53490 0.955535 4
m 600 54000 1000 53403 0.860399 5
m 600 54000 1000 53530 0.79386 6
m 600 54000 10000 44734 12.16026 2
m 600 54000 10000 45802 8.596217 4
m 600 54000 10000 45602 7.556856 5
m 600 54000 10000 46357 7.003367 6
m 600 54000 10000 44827 12.16161 2
m 600 54000 10000 45592 8.558212 4
m 600 54000 10000 45704 7.613528 5
m 600 54000 10000 46311 7.010707 6
m 600 54000 10000 44964 12.25661 2
m 600 54000 10000 45778 8.469013 4
m 600 54000 10000 45072 7.544086 5
m 600 54000 10000 46214 7.035078 6
m 600 54000 10000 44479 12.13646 2
m 600 54000 10000 45044 8.446363 4
m 600 54000 10000 45123 7.45949 5
m 600 54000 10000 45554 7.027224 6
m 600 54000 100000 5618 26.99441 2
m 600 54000 100000 6055 21.00509 4
m 600 54000 100000 5823 18.14323 5
m 600 54000 100000 6298 17.6415 6
m 600 54000 100000 5829 27.4772 2
m 600 54000 100000 6083 20.88364 4
m 600 54000 100000 5816 18.0331 5
m 600 54000 100000 6234 17.22651 6
m 600 54000 100000 5585 27.16755 2
m 600 54000 100000 6063 20.42398 4
m 600 54000 100000 5758 17.96248 5
m 600 54000 100000 6142 17.18142 6
m 600 54000 100000 5567 26.83241 2
m 600 54000 100000 6110 20.62725 4
m 600 54000 100000 6244 18.69196 5
m 600 54000 100000 5883 16.56226 6
